feature,pure_rev_gain,hybrid_rev_gain,pure_cogs_gain,hybrid_cogs_gain,weighted_rev_gain,weighted_cogs_gain
month,7636.157204641983,7688.371489499557,6137.049581602661,6965.283155937968,7672.7072040422845,6716.813083637377
day,24396.361274613475,24101.163502706237,26695.817547584273,25897.691076813164,24189.722834278407,26137.129018044492
dayofweek,2325.8158874373225,2327.4000005409,2359.8837995190343,2443.4206459030656,2326.9247666098263,2418.359591987856
is_weekend,118.4268019101437,88.05086338963156,110.82901578154997,103.97746572061442,97.1636449457852,106.03293073889506
quarter,1089.7964688662905,1878.1083258004292,1026.8126075360797,1722.0797309787786,1641.6147687201874,1513.4995939459689
month_mean_rev,34429.95620863591,30915.05274582334,32312.6487034089,28998.81109831464,31969.523784667108,29992.962379842917
dow_mean_rev,928.8336920703741,965.4030994638597,952.1190952559791,994.1350421406175,954.432277245814,981.5302580752259
month_mean_cogs,12245.209714249242,13082.598817924038,12418.04037953871,12948.191542150918,12831.382086821599,12789.146193367254
dow_mean_cogs,593.3635176812201,537.3009157461347,602.0953679337726,572.3644986000654,554.1196963266602,581.2837594001776
is_month_start,805.1948189625982,770.9804713572375,819.1750799843576,831.5843200010713,781.2447756388457,827.8615479960571
is_month_end,1632.5323708436918,2148.2059834462125,1677.547586046392,2200.817653076607,1993.5038996654562,2043.8366329675423
is_double_day,285.1819708661642,346.27917731855996,239.4694417384453,303.1496833716519,327.95001538284123,284.0456108816899
is_mid_month,29.950559423828963,33.03095577796921,30.959235976275522,31.495628286153078,32.10683687172713,31.33471059318981
days_to_tet,893.2416743670619,593.6014266071029,961.6514837779432,685.128192144151,683.4935009350905,768.0851796342886
days_after_tet,297.108189789551,168.51162725577888,267.8433152466896,161.16143842809834,207.0905960159105,193.1660014736757
is_tet_week,36.47645378019661,6.086855945177376,41.34388942667283,22.16919406829402,15.203735295683146,27.921602675807662
is_holiday,11.671578580047935,19.411336760269478,15.92167705623433,19.045865768101066,17.089409306203013,18.108609154541046
